agent_id,from_zone_id,to_zone_id,complete_flag,departure_time_in_min,arrival_time_in_min,trip_time_in_min,distance,demand_type,vehicle_type,information_type,value_of_time,toll_cost,number_of_nodes,number_of_location_records,path_node_sequence,path_time_sequence
1,6,28,1,930.01,954,23.99,3.397,1,1,1,15,0,13,0,5238;5208;11261;5214;11259;5587;5174;5868;5216;11507;5175;6185;1359;,930.0;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;954.0;
2,18,41,1,930.02,936,5.98,1.154,1,2,1,10,0,4,0,1286;11125;5436;5578;,930.0;932.0;934.0;936.0;
3,9,21,1,930.03,936,5.97,0.922,1,1,1,20,0,4,0,5356;5216;5868;6253;,930.1;932.0;934.0;936.0;
4,12,11,1,930.04,952,21.96,1.754,1,1,1,5,0,13,0,11151;5109;4804;5106;10852;10851;6273;6270;10853;11910;5118;5727;5119;,930.1;932.0;934.0;936.0;938.0;940.0;940.1;942.0;944.0;946.0;948.0;950.0;952.0;
5,26,36,1,930.1,954,23.9,2.903,1,2,1,1,0,12,0,1323;11161;5103;5820;11147;5022;5524;5863;5009;5027;11129;1299;,930.1;932.0;934.0;936.0;938.0;940.0;944.0;946.0;948.0;950.0;952.0;954.0;
6,2,30,1,930.11,974,43.89,4.037,1,1,1,10,0,23,0,11123;5017;11146;5736;11148;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;10854;7210;10850;1360;,930.1;930.6;932.0;934.0;936.0;938.0;940.0;942.0;944.1;948.0;950.1;954.0;956.0;958.0;960.0;962.0;964.0;966.0;968.0;970.0;972.0;972.1;974.0;
7,17,26,1,930.12,944,13.88,2.132,1,1,1,15,0,8,0,1289;4952;5022;11147;5820;5103;11161;1323;,930.1;932.0;934.0;936.0;938.0;940.0;942.0;944.0;
8,27,41,1,930.14,950,19.86,3.443,1,1,1,30,0,12,0,1346;11172;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,930.2;932.0;934.0;936.0;938.0;940.0;942.0;944.0;945.2;945.9;948.0;950.0;
9,20,19,1,930.15,934,3.85,0.525,1,1,1,30,0,3,0,1356;6256;1352;,930.2;932.0;934.0;
10,17,13,1,930.16,946,15.84,2.148,1,1,1,20,0,9,0,1289;4952;5022;5524;5863;5009;5027;11129;5034;,930.2;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;
11,3,10,1,930.17,970,39.83,3.181,1,1,1,15,0,19,0,11159;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;5729;5929;,930.2;932.0;934.0;936.0;938.0;940.1;942.1;944.1;946.1;948.1;950.1;954.0;956.0;958.0;960.0;964.0;966.0;968.0;970.0;
12,41,11,1,930.21,1002.1,71.89,4.588,1,1,1,5,0,26,0,5578;5436;11125;5440;11127;11126;5441;5861;10872;5030;4958;5010;5027;11150;5109;4804;5106;10852;10851;6273;6270;10853;11910;5118;5727;5119;,930.2;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;956.0;968.0;970.0;984.0;986.0;988.0;990.0;992.0;994.0;996.0;998.0;1000.0;1002.0;1002.1;
13,26,11,1,930.22,950.1,19.88,1.481,1,1,1,10,0,12,0,1323;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;950.1;
14,17,22,1,930.24,978,47.76,4.493,1,1,1,10,0,23,0,1289;4952;5022;11147;5820;5103;11161;5114;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;11507;3689;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;950.0;952.0;954.0;956.0;958.0;960.0;962.0;964.0;966.0;968.0;972.0;974.0;976.0;978.0;
15,12,34,1,930.24,948,17.76,1.77,1,2,1,10,0,10,0,11151;5109;11150;5027;5009;5863;5524;5022;11147;1319;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;
16,17,11,1,930.25,972,41.75,3.638,1,2,1,30,0,20,0,1289;4952;5022;5524;5863;5009;5027;11150;5109;4804;5106;10852;10851;6273;6270;10853;11910;5118;5727;5119;,930.3;932.0;936.0;938.0;940.0;942.0;944.0;946.0;948.1;954.0;956.0;958.0;960.0;960.1;962.0;964.0;966.0;968.0;970.0;972.0;
17,25,33,1,930.26,944,13.74,1.64,1,1,1,20,0,8,0,1355;5219;5232;11182;11181;5211;5209;1351;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;944.0;
18,16,14,1,930.26,948,17.74,1.527,1,1,1,5,0,10,0,11827;5440;11127;11126;5441;5861;10872;5030;11128;5037;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;
19,3,13,1,930.28,958,27.72,3.667,1,2,1,30,0,16,0,11159;5112;11160;5113;11148;5736;11146;5017;11124;5022;5524;5863;5009;5027;11129;5034;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;942.3;944.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;
20,36,41,1,930.28,952,21.72,2.359,1,1,1,10,0,12,0,1299;4958;5030;10872;5861;5441;11126;11127;5440;11125;5436;5578;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;
21,12,3,1,930.29,980,49.71,3.791,1,1,1,30,0,17,0,11151;5109;11150;5027;5009;5863;5524;5022;11124;5017;11146;5736;11148;5113;11160;5112;11159;,930.3;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;947.5;958.0;960.0;962.0;966.0;972.0;978.0;980.0;
22,32,34,1,930.31,936,5.69,1.107,1,1,1,15,0,5,0,1285;5018;5017;11146;1319;,930.3;932.0;932.7;934.0;936.0;
23,31,24,1,930.33,970,39.67,3.045,1,1,1,15,0,18,0,8002;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;11910;10853;1325;,930.4;932.0;934.0;936.0;938.0;940.0;942.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;960.0;966.0;968.0;970.0;
24,13,14,1,930.33,944,13.67,1.391,1,1,1,60,0,8,0,5034;11129;5027;5010;4958;5030;11128;5037;,930.4;932.0;934.0;936.0;938.0;940.0;942.0;944.0;
25,7,24,1,930.34,990,59.66,3.821,1,1,1,10,0,19,0,11281;5214;11259;5587;5174;5868;5216;11507;5175;6185;8172;3000;1358;5117;11255;5118;11910;10853;1325;,930.4;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;954.0;964.1;972.0;974.0;976.0;978.0;986.0;988.0;990.0;
26,31,13,1,930.37,948,17.63,2.435,1,1,1,10,0,11,0,1314;11146;5017;11124;5022;5524;5863;5009;5027;11129;5034;,930.4;932.0;933.1;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;
27,1,16,1,930.37,938,7.63,0.873,1,1,1,10,0,5,0,5577;5436;11125;5440;11827;,930.4;932.0;934.0;936.0;938.0;
28,41,28,1,930.39,1002,71.61,5.025,1,1,1,10,0,23,0,5578;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;1359;,930.4;932.0;934.0;935.6;938.0;940.1;944.0;946.0;948.0;950.1;954.1;964.0;970.0;976.0;978.0;980.0;982.0;984.0;988.1;996.0;998.0;1000.0;1002.0;
29,11,13,1,930.4,960,29.6,2.28,1,2,1,5,0,16,0,5119;5727;5118;11910;10853;6270;6273;10851;10852;5106;4804;5109;11150;5027;11129;5034;,930.4;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;954.0;956.1;958.0;960.0;
30,8,32,1,930.43,982,51.57,5.144,1,1,1,20,0,26,0,10847;5216;11507;5175;6185;8172;3000;1358;5117;5;4;3;2;1;5592;5114;5589;5112;11160;5113;11148;5736;11146;5017;5018;1285;,930.5;932.0;934.0;936.0;938.0;940.0;942.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;960.0;962.0;964.0;966.0;970.0;972.0;974.0;976.0;978.0;978.3;980.0;982.0;
31,31,39,1,930.43,964,33.57,3.855,1,1,1,5,0,17,0,1316;11148;5113;11160;5112;11172;5210;5211;11181;11182;5232;11183;5215;5588;11184;11257;1404;,930.5;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;956.0;958.0;960.0;962.0;964.0;
32,13,3,1,930.44,970,39.56,3.667,1,1,1,10,0,16,0,5034;11129;5027;5009;5863;5524;5022;11124;5017;11146;5736;11148;5113;11160;5112;11159;,930.5;932.0;934.0;936.0;938.0;940.0;942.0;944.0;944.6;952.0;954.0;956.0;958.1;964.0;968.0;970.0;
33,27,28,1,930.45,962,31.55,2.581,1,1,1,30,0,16,0,1346;11172;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;1359;,930.5;932.0;934.0;936.0;938.0;940.0;942.1;944.1;946.1;948.1;950.1;952.1;956.0;958.0;960.0;962.0;
34,7,41,1,930.47,970,39.53,5.644,1,1,1,30,0,18,0,11281;5214;11261;5208;5209;5211;5210;11172;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,930.5;932.0;934.0;936.0;938.0;940.0;942.0;946.0;952.0;954.0;956.0;958.0;960.0;962.0;963.2;966.0;968.1;970.0;
35,17,24,1,930.49,968,37.51,3.324,1,1,1,15,0,17,0,1289;4952;5022;5524;5863;5009;5027;11150;5109;4804;5106;10852;10851;6273;6270;10853;1325;,930.5;932.0;936.0;938.0;940.0;942.0;944.0;948.0;950.0;954.0;956.1;958.0;960.0;962.0;964.0;966.0;968.0;
36,13,28,1,930.55,952,21.45,2.462,1,1,1,30,0,12,0,5034;11129;5027;11150;5109;4804;5106;5117;1358;3000;3001;1359;,930.6;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;
37,31,5,1,930.58,950,19.42,3.063,1,1,1,5,0,11,0,1316;11148;5113;11160;5112;11172;5210;5211;5209;5208;11282;,930.6;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;
38,17,41,1,930.6,936,5.4,1.207,1,1,1,30,0,4,0,1289;5018;5436;5578;,930.6;932.0;934.0;936.0;
39,25,9,1,930.63,948,17.37,1.902,1,1,1,15,0,10,0,1355;11183;5215;5588;11184;11257;5175;11507;5216;5356;,930.7;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;
40,17,16,1,930.63,936,5.37,0.94,1,1,1,1,0,4,0,1289;4952;5440;11827;,930.7;932.0;934.0;936.0;
41,3,37,1,930.64,936,5.36,0.743,1,2,1,5,0,4,0,11159;5112;11172;1353;,930.7;932.0;934.0;936.0;
42,4,21,1,930.65,950,19.35,2.919,1,1,1,10,0,11,0,11180;5211;5209;5208;11261;5214;11259;5587;5174;5868;6253;,930.7;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;
43,2,24,1,930.67,970,39.33,3.347,1,1,1,20,0,18,0,11123;5017;11124;5022;5524;5863;5009;5027;11150;5109;4804;5106;10852;10851;6273;6270;10853;1325;,930.7;931.6;934.0;936.0;938.0;940.0;942.0;944.0;948.0;950.0;956.0;958.0;960.0;962.0;964.0;966.0;968.0;970.0;
44,33,17,1,930.67,954,23.33,3.871,1,1,1,20,0,14,0,1351;5209;5211;5210;11172;5112;11160;5113;11148;5736;11146;5017;5018;1289;,930.7;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;951.2;951.9;954.0;
45,3,36,1,930.69,958,27.31,3.777,1,1,1,30,0,16,0,11159;5112;11160;5113;11148;5736;11146;5017;11124;5022;5524;5863;5009;5027;11129;1299;,930.7;932.0;934.0;936.0;938.0;940.0;942.0;942.3;944.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;
46,34,41,1,930.7,938,7.3,1.813,1,1,1,5,0,6,0,1319;11146;5017;5018;5436;5578;,930.7;932.0;933.1;934.0;936.0;938.0;
47,20,26,1,930.74,950,19.26,2.541,1,1,1,10,0,10,0,1357;5588;5215;11183;5232;5219;11173;5114;11161;1323;,930.8;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;
48,3,15,1,930.77,962,31.23,4.155,1,1,1,15,0,18,0,11159;5112;11160;5113;11148;5736;11146;5017;11124;5022;5524;5863;5009;5240;5010;4958;5030;4899;,930.8;932.0;934.0;936.0;938.0;940.0;942.0;942.3;944.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;960.0;962.0;
49,7,9,1,930.79,944,13.21,2.058,1,1,1,30,0,8,0,11281;5214;11259;5587;5174;5868;5216;5356;,930.8;932.0;934.0;936.0;938.0;940.0;942.0;944.0;
50,17,22,1,930.82,986,55.18,4.493,1,1,1,5,0,23,0,1289;4952;5022;11147;5820;5103;11161;5114;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;11507;3689;,930.8;932.0;936.0;938.0;940.0;942.0;944.0;946.0;950.0;952.0;954.0;956.0;958.0;960.0;962.0;966.0;968.1;972.0;974.0;980.0;982.0;984.0;986.0;
51,7,39,1,930.84,950,19.16,2.572,1,2,1,20,0,11,0,11281;5214;11259;5587;5174;5868;5216;11507;5175;11257;1404;,930.9;932.1;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;
52,21,15,1,930.85,968,37.15,4.483,1,2,1,15,0,19,0,6253;5868;5216;11507;5175;6185;8172;3000;1358;5117;5106;4804;5109;11150;5027;5010;4958;5030;4899;,930.9;932.0;934.0;936.0;938.0;940.0;942.0;944.0;948.0;950.0;952.0;954.0;956.0;958.0;960.0;962.0;964.0;966.0;968.0;
53,7,19,1,930.87,938,7.13,1.101,1,1,1,30,0,4,0,11281;5214;6256;1352;,930.9;934.0;936.0;938.0;
54,7,28,1,930.88,952,21.12,2.701,1,1,1,20,0,11,0,11281;5214;11259;5587;5174;5868;5216;11507;5175;6185;1359;,930.9;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;
55,35,34,1,930.88,942,11.12,1.517,1,1,1,30,0,6,0,1290;4952;5022;11147;5820;1320;,930.9;932.0;936.1;938.0;940.0;942.0;
56,1,19,1,930.89,964,33.11,4.302,1,1,1,5,0,15,0,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;1352;,930.9;932.0;934.0;935.5;938.0;940.0;942.0;946.0;948.0;950.0;954.0;956.0;960.0;962.0;964.0;
57,32,9,1,930.9,996,65.1,5.33,1,1,1,15,0,27,0,1285;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;11507;5216;5356;,930.9;932.0;932.7;934.0;936.0;938.0;940.0;942.0;944.0;946.0;952.0;954.0;958.0;960.0;962.0;964.0;966.0;968.0;974.0;976.0;978.0;980.0;988.1;990.0;992.0;994.0;996.0;
58,20,24,1,930.95,970,39.05,3.026,1,1,1,10,0,17,0,1356;11183;5215;5588;11184;11257;5175;6185;8172;3000;1358;5117;11255;5118;11910;10853;1325;,931.0;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;952.1;956.0;958.0;960.0;964.1;968.0;970.0;
59,26,11,1,930.96,952,21.04,1.481,1,1,1,10,0,12,0,1323;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,931.0;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;
60,27,21,1,930.98,952.1,21.12,3.134,1,1,1,15,0,12,0,1348;5210;5211;5209;5208;11261;5214;11259;5587;5174;5868;6253;,931.0;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.1;952.1;
61,1,17,1,930.98,936,5.02,0.956,1,1,1,60,0,4,0,5577;5436;5018;1289;,931.0;932.0;934.0;936.0;
62,9,31,1,930.99,980,49.01,4.499,1,1,1,20,0,24,0,5356;5216;11507;5175;6185;8172;3000;1358;5117;5;4;3;2;1;5592;5114;5589;5112;11160;5113;11148;5736;11146;1314;,931.0;932.0;934.0;936.0;938.0;940.0;942.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;960.0;962.0;964.0;966.0;970.0;972.0;974.0;976.0;978.0;980.0;
63,19,6,1,931,936,5,1.292,1,1,1,30,0,4,0,1352;5209;5208;5238;,931.0;932.0;934.0;936.0;
64,27,34,1,931,940,9,1.332,1,1,1,5,0,6,0,1348;5210;11172;5112;11160;1322;,931.0;932.0;934.0;936.0;938.0;940.0;
65,27,37,1,931.01,936,4.99,0.989,1,2,1,30,0,4,0,1348;5210;11172;1353;,931.0;932.0;934.0;936.0;
66,17,41,1,931.02,936,4.98,1.207,1,1,1,10,0,4,0,1289;5018;5436;5578;,931.0;932.0;934.0;936.0;
67,10,13,1,931.02,960,28.98,3.184,1,1,1,15,0,15,0,5929;5729;5175;6185;8172;3000;1358;5117;5106;4804;5109;11150;5027;11129;5034;,931.1;932.0;934.0;936.0;938.0;940.0;944.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;960.0;
68,11,22,1,931.04,952,20.96,1.37,1,1,1,5,0,12,0,5119;5727;5118;10854;7210;11763;5730;8172;6185;5175;11507;3689;,931.1;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;
69,3,21,1,931.05,956,24.95,3.883,1,1,1,20,0,14,0,11159;5112;11172;5210;5211;5209;5208;11261;5214;11259;5587;5174;5868;6253;,931.1;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;954.0;956.0;
70,21,9,1,931.07,936,4.93,0.922,1,1,1,10,0,4,0,6253;5868;5216;5356;,931.1;932.0;934.0;936.0;
71,3,11,1,931.07,958.1,27.03,2.338,1,1,1,20,0,15,0,11159;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,931.1;932.1;934.0;936.1;938.1;942.0;944.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;958.1;
72,3,41,1,931.07,950,18.93,3.2,1,2,1,10,0,11,0,11159;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,931.1;934.0;936.0;938.0;940.0;942.0;944.0;945.1;946.0;948.0;950.0;
73,5,18,1,931.08,962,30.92,5.247,1,1,1,10,0,17,0,11282;5208;5209;5211;5210;11172;5112;11160;5113;11148;5736;11146;5017;5018;5436;11125;1286;,931.1;932.0;934.0;936.0;938.0;940.0;944.0;946.0;948.0;950.0;952.0;954.0;954.3;956.0;958.0;960.1;962.0;
74,17,38,1,931.09,960,28.91,4.845,1,1,1,20,0,16,0,1289;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;11261;1397;,931.1;932.0;932.7;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;952.0;954.0;956.0;958.0;960.0;
75,17,27,1,931.09,948,16.91,2.761,1,1,1,30,0,11,0,1289;5018;5017;11146;5736;11148;5113;11160;5112;11172;1346;,931.1;932.0;932.7;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;
76,18,11,1,931.09,998.1,67.01,4.365,1,2,1,30,0,25,0,1286;11125;5440;11127;11126;5441;5861;10872;5030;4958;5010;5027;11150;5109;4804;5106;10852;10851;6273;6270;10853;11910;5118;5727;5119;,931.1;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;954.0;966.0;968.0;980.0;982.0;984.0;986.0;988.0;990.0;992.0;994.0;996.0;998.0;998.1;
77,6,22,1,931.1,950,18.9,2.89,1,1,1,20,0,11,0,5238;5208;11261;5214;11259;5587;5174;5868;5216;11507;3689;,931.1;932.1;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;
78,19,14,1,931.12,976,44.88,5.513,1,1,1,20,0,23,0,1352;5209;5211;5210;11172;5112;11160;5113;11148;5736;11146;5017;11124;5022;5524;5863;5009;5240;5010;4958;5030;11128;5037;,931.2;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.1;951.2;954.0;956.0;960.0;962.0;964.0;966.0;968.0;970.0;972.0;974.0;976.0;
79,12,19,1,931.13,992,60.87,5.144,1,1,1,15,0,21,0,11151;5109;11150;5027;5009;5863;5524;5022;11124;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;1352;,931.2;932.1;934.0;936.0;938.0;940.0;942.0;944.0;946.0;947.5;958.0;960.0;962.0;966.0;972.0;978.0;980.0;984.0;988.0;990.0;992.0;
80,11,41,1,931.15,974,42.85,5.025,1,2,1,60,0,23,0,5119;5727;5118;11255;5117;5;4;3;2;1;5592;5114;5589;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,931.2;932.0;934.0;936.0;938.0;940.0;942.0;944.0;946.0;948.0;950.0;952.0;954.0;956.0;958.0;960.0;962.0;964.0;966.0;966.3;968.0;972.0;974.0;
